,0
0,99
1,99
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,101
11,101
12,101
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,99
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,101
31,101
32,101
33,101
34,101
35,100
36,100
37,100
38,100
39,100
40,101
41,101
42,101
43,100
44,99
45,99
46,99
47,99
48,99
49,99
50,99
51,99
52,99
53,99
54,100
55,101
56,101
57,101
58,101
59,101
60,101
61,100
62,100
63,100
64,100
65,100
66,100
67,100
68,100
69,100
70,101
71,101
72,102
73,101
74,101
75,101
76,101
77,101
78,101
79,101
80,100
81,101
82,101
83,100
84,100
85,100
86,100
87,100
88,100
89,100
90,101
91,100
92,99
93,99
94,99
95,99
96,99
97,99
98,99
99,99
100,99
101,99
102,99
103,99
104,99
105,99
106,99
107,99
108,99
109,99
110,100
111,101
112,101
113,101
114,101
115,101
116,101
117,101
118,101
119,101
120,101
121,100
122,101
123,101
124,101
125,101
126,101
127,101
128,101
129,101
130,102
131,101
132,100
133,100
134,101
135,100
136,100
137,100
138,100
139,100
140,101
141,101
142,101
143,100
144,99
145,99
146,99
147,99
148,99
149,99
150,99
151,99
152,99
153,99
154,100
155,100
156,100
157,100
158,100
159,100
160,100
161,99
162,99
163,99
164,99
165,99
166,99
167,99
168,99
169,99
170,100
171,101
172,101
173,101
174,101
175,101
176,101
177,101
178,101
179,101
180,101
181,102
182,102
183,101
184,101
185,101
186,101
187,101
188,101
189,101
190,101
191,100
192,99
193,99
194,99
195,99
196,99
197,99
198,99
199,99
200,99
201,99
202,100
203,100
204,100
205,100
206,100
207,100
208,100
209,100
210,101
211,101
212,101
213,100
214,100
215,100
216,100
217,100
218,100
219,100
220,100
221,99
222,99
223,99
224,99
225,99
226,99
227,99
228,99
229,99
230,100
231,101
232,101
233,101
234,101
235,101
236,101
237,101
238,101
239,101
240,101
241,102
242,102
243,101
244,101
245,101
246,101
247,101
248,101
249,101
250,101
251,100
252,99
253,99
254,99
255,99
256,99
257,99
258,99
259,99
260,99
261,99
262,100
263,100
264,100
265,100
266,100
267,100
268,100
269,100
270,101
271,101
272,101
273,100
274,100
275,100
276,100
277,100
278,100
279,100
280,100
281,99
282,99
283,99
284,99
285,99
286,99
287,99
288,99
289,99
290,100
291,101
292,101
293,101
294,101
295,101
296,101
297,101
298,101
299,101
300,101
301,102
302,102
303,101
304,101
305,101
306,101
307,101
308,101
309,101
310,101
311,100
312,99
313,99
314,99
315,99
316,99
317,99
318,99
319,99
320,99
321,99
322,100
323,100
324,100
325,100
326,100
327,100
328,100
329,100
330,101
331,101
332,101
333,100
334,100
335,100
336,100
337,100
338,100
339,100
340,100
341,99
342,99
343,99
344,99
345,99
346,99
347,99
348,99
349,99
350,100
351,101
352,101
353,101
354,101
355,101
356,101
357,101
358,101
359,101
360,101
361,102
362,102
363,101
364,101
365,101
366,101
367,101
368,101
369,101
370,101
371,100
372,99
373,99
374,99
375,99
376,99
377,99
378,99
379,99
380,99
381,99
382,100
383,100
384,100
385,100
386,100
387,100
388,100
389,100
390,101
391,101
392,101
393,100
394,100
395,100
396,100
397,100
398,100
399,100
400,100
401,99
402,99
403,99
404,99
405,99
406,99
407,99
408,99
409,99
410,100
411,101
412,101
413,101
414,101
415,101
416,101
417,101
418,101
419,101
420,101
421,102
422,102
423,101
424,101
425,101
426,101
427,101
428,101
429,101
430,101
431,100
432,99
433,99
434,99
435,99
436,99
437,99
438,99
439,99
440,99
441,99
442,100
443,100
444,100
445,100
446,100
447,100
448,100
449,100
450,101
451,101
452,101
453,100
454,100
455,100
456,100
457,100
458,100
459,100
460,100
461,99
462,99
463,99
464,99
465,99
466,99
467,99
468,99
469,99
470,100
471,101
472,101
473,101
474,101
475,101
476,101
477,101
478,101
479,101
480,101
481,101
482,102
483,101
484,101
485,101
486,101
487,101
488,101
489,101
490,101
491,100
492,99
493,99
494,99
495,99
496,99
497,99
498,99
499,99
