,0
0,100
1,100
2,99
3,98
4,97
5,96
6,95
7,95
8,96
9,96
10,95
11,95
12,96
13,97
14,98
15,99
16,100
17,100
18,101
19,100
20,100
21,101
22,101
23,101
24,101
25,102
26,102
27,102
28,102
29,102
30,103
31,103
32,103
33,103
34,103
35,103
36,103
37,103
38,103
39,103
40,103
41,103
42,103
43,102
44,101
45,101
46,100
47,99
48,98
49,97
50,96
51,96
52,95
53,96
54,96
55,95
56,96
57,96
58,97
59,98
60,98
61,98
62,98
63,98
64,99
65,100
66,99
67,99
68,99
69,99
70,99
71,99
72,99
73,99
74,99
75,99
76,100
77,100
78,100
79,100
80,100
81,100
82,101
83,100
84,101
85,102
86,103
87,103
88,103
89,103
90,103
91,103
92,103
93,103
94,103
95,103
96,103
97,103
98,103
99,103
100,103
101,103
102,103
103,103
104,103
105,102
106,101
107,100
108,99
109,99
110,98
111,97
112,96
113,96
114,95
115,94
116,95
117,95
118,95
119,96
120,97
121,98
122,98
123,99
124,100
125,101
126,101
127,101
128,101
129,101
130,102
131,103
132,102
133,102
134,102
135,102
136,103
137,103
138,103
139,103
140,103
141,103
142,103
143,103
144,103
145,103
146,103
147,103
148,102
149,101
150,100
151,99
152,98
153,97
154,96
155,96
156,96
157,95
158,96
159,95
160,94
161,95
162,96
163,97
164,98
165,99
166,99
167,100
168,100
169,100
170,101
171,101
172,101
173,102
174,102
175,102
176,102
177,102
178,103
179,103
180,103
181,103
182,103
183,103
184,103
185,103
186,103
187,103
188,103
189,103
190,103
191,102
192,101
193,100
194,99
195,98
196,98
197,97
198,96
199,95
200,95
201,96
202,95
203,96
204,96
205,96
206,97
207,98
208,99
209,99
210,100
211,101
212,101
213,100
214,100
215,99
216,100
217,100
218,100
219,100
220,100
221,100
222,100
223,100
224,101
225,102
226,102
227,103
228,103
229,103
230,103
231,103
232,103
233,103
234,103
235,103
236,103
237,103
238,103
239,103
240,103
241,103
242,103
243,103
244,102
245,102
246,101
247,100
248,99
249,98
250,97
251,96
252,95
253,95
254,96
255,96
256,96
257,95
258,96
259,96
260,97
261,98
262,99
263,100
264,100
265,101
266,102
267,102
268,103
269,103
270,103
271,103
272,103
273,103
274,103
275,103
276,103
277,102
278,101
279,101
280,100
281,99
282,98
283,98
284,97
285,97
286,97
287,98
288,98
289,98
290,99
291,99
292,100
293,99
294,98
295,98
296,98
297,98
298,98
299,98
300,99
301,100
302,101
303,102
304,103
305,103
306,103
307,103
308,103
309,103
310,103
311,103
312,103
313,103
314,103
315,103
316,102
317,101
318,100
319,99
320,98
321,97
322,97
323,96
324,95
325,95
326,96
327,95
328,96
329,95
330,96
331,97
332,98
333,99
334,100
335,101
336,102
337,103
338,103
339,103
340,102
341,102
342,101
343,100
344,100
345,99
346,98
347,97
348,97
349,97
350,97
351,97
352,98
353,97
354,97
355,98
356,98
357,99
358,100
359,100
360,100
361,101
362,101
363,101
364,101
365,101
366,101
367,101
368,102
369,102
370,103
371,102
372,102
373,101
374,101
375,101
376,100
377,101
378,101
379,102
380,103
381,103
382,103
383,103
384,103
385,103
386,103
387,103
388,103
389,103
390,103
391,103
392,102
393,101
394,100
395,99
396,99
397,98
398,97
399,96
400,95
401,95
402,95
403,94
404,95
405,95
406,96
407,97
408,98
409,99
410,99
411,99
412,99
413,98
414,99
415,99
416,100
417,100
418,100
419,100
420,100
421,101
422,101
423,101
424,101
425,102
426,103
427,103
428,103
429,103
430,103
431,103
432,103
433,103
434,103
435,103
436,103
437,103
438,103
439,103
440,103
441,103
442,103
443,103
444,103
445,102
446,101
447,100
448,99
449,99
450,98
451,97
452,96
453,95
454,96
455,95
456,96
457,95
458,95
459,96
460,97
461,98
462,99
463,100
464,101
465,102
466,102
467,101
468,100
469,101
470,102
471,101
472,100
473,99
474,100
475,100
476,101
477,102
478,103
479,103
480,103
481,103
482,103
483,103
484,103
485,103
486,103
487,103
488,103
489,103
490,103
491,103
492,103
493,103
494,103
495,103
496,103
497,103
498,102
499,101
