,0
0,102
1,101
2,100
3,99
4,98
5,97
6,96
7,95
8,95
9,94
10,93
11,94
12,95
13,96
14,96
15,97
16,98
17,99
18,100
19,100
20,100
21,99
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,101
31,101
32,101
33,102
34,103
35,103
36,103
37,103
38,102
39,103
40,102
41,101
42,101
43,100
44,101
45,102
46,103
47,103
48,103
49,103
50,103
51,103
52,103
53,103
54,103
55,103
56,103
57,103
58,103
59,103
60,102
61,101
62,100
63,99
64,98
65,97
66,97
67,96
68,95
69,94
70,93
71,94
72,94
73,95
74,96
75,97
76,98
77,99
78,100
79,100
80,100
81,101
82,101
83,102
84,103
85,102
86,101
87,102
88,103
89,103
90,103
91,103
92,103
93,103
94,103
95,103
96,103
97,103
98,103
99,103
100,103
101,102
102,102
103,101
104,100
105,99
106,98
107,97
108,96
109,95
110,94
111,93
112,93
113,94
114,94
115,95
116,96
117,97
118,98
119,99
120,100
121,100
122,101
123,101
124,101
125,101
126,101
127,101
128,101
129,101
130,102
131,101
132,101
133,102
134,103
135,102
136,103
137,103
138,103
139,103
140,103
141,103
142,103
143,103
144,103
145,103
146,103
147,103
148,102
149,101
150,100
151,99
152,99
153,98
154,97
155,96
156,95
157,94
158,94
159,94
160,94
161,95
162,96
163,96
164,97
165,98
166,99
167,99
168,99
169,99
170,100
171,101
172,101
173,101
174,101
175,101
176,101
177,101
178,101
179,101
180,102
181,103
182,103
183,103
184,103
185,103
186,103
187,103
188,103
189,103
190,103
191,103
192,103
193,103
194,103
195,103
196,103
197,103
198,103
199,102
200,101
201,101
202,100
203,99
204,98
205,97
206,96
207,95
208,94
209,93
210,94
211,95
212,95
213,96
214,97
215,98
216,99
217,100
218,100
219,100
220,100
221,99
222,99
223,99
224,99
225,99
226,99
227,99
228,99
229,99
230,100
231,101
232,101
233,101
234,101
235,101
236,101
237,101
238,101
239,102
240,102
241,103
242,103
243,103
244,103
245,103
246,103
247,103
248,103
249,103
250,103
251,103
252,103
253,103
254,103
255,103
256,103
257,103
258,103
259,103
260,102
261,101
262,100
263,99
264,98
265,98
266,97
267,96
268,95
269,94
270,94
271,93
272,94
273,95
274,96
275,97
276,98
277,99
278,100
279,100
280,100
281,99
282,99
283,99
284,99
285,99
286,99
287,99
288,99
289,99
290,100
291,101
292,101
293,101
294,101
295,101
296,101
297,101
298,101
299,102
300,103
301,103
302,103
303,103
304,103
305,103
306,103
307,103
308,103
309,103
310,103
311,103
312,103
313,103
314,103
315,103
316,103
317,103
318,103
319,103
320,102
321,101
322,100
323,99
324,98
325,97
326,96
327,96
328,95
329,94
330,94
331,94
332,94
333,95
334,96
335,97
336,98
337,99
338,100
339,100
340,100
341,99
342,99
343,99
344,99
345,99
346,99
347,99
348,99
349,99
350,100
351,101
352,101
353,101
354,101
355,101
356,101
357,101
358,101
359,102
360,102
361,103
362,103
363,103
364,103
365,103
366,103
367,103
368,103
369,103
370,103
371,103
372,103
373,103
374,103
375,103
376,103
377,103
378,103
379,103
380,102
381,101
382,100
383,99
384,98
385,97
386,96
387,96
388,95
389,94
390,93
391,94
392,95
393,96
394,96
395,97
396,98
397,99
398,100
399,100
400,100
401,99
402,99
403,99
404,99
405,99
406,99
407,99
408,99
409,99
410,100
411,101
412,101
413,101
414,101
415,101
416,101
417,101
418,101
419,102
420,102
421,103
422,103
423,103
424,103
425,103
426,103
427,103
428,103
429,103
430,103
431,103
432,103
433,103
434,103
435,103
436,103
437,103
438,103
439,103
440,102
441,101
442,100
443,99
444,98
445,97
446,97
447,96
448,95
449,94
450,94
451,94
452,94
453,95
454,96
455,97
456,98
457,99
458,100
459,100
460,100
461,99
462,99
463,99
464,99
465,99
466,99
467,99
468,99
469,99
470,100
471,101
472,101
473,101
474,101
475,101
476,101
477,101
478,101
479,102
480,102
481,103
482,103
483,103
484,103
485,103
486,103
487,103
488,103
489,103
490,103
491,103
492,103
493,103
494,103
495,103
496,103
497,103
498,103
499,103
