,0
0,98
1,99
2,99
3,100
4,101
5,102
6,103
7,103
8,103
9,103
10,102
11,101
12,100
13,99
14,98
15,98
16,97
17,97
18,97
19,98
20,99
21,100
22,101
23,100
24,99
25,98
26,98
27,99
28,99
29,99
30,99
31,100
32,101
33,101
34,102
35,101
36,101
37,100
38,99
39,100
40,101
41,102
42,103
43,103
44,103
45,103
46,102
47,101
48,100
49,99
50,98
51,98
52,97
53,96
54,97
55,98
56,98
57,99
58,100
59,101
60,101
61,102
62,103
63,102
64,101
65,100
66,99
67,99
68,99
69,100
70,101
71,102
72,103
73,103
74,103
75,102
76,101
77,100
78,99
79,98
80,99
81,100
82,100
83,101
84,102
85,103
86,103
87,103
88,103
89,102
90,101
91,100
92,100
93,99
94,98
95,97
96,96
97,97
98,98
99,98
100,98
101,98
102,99
103,99
104,99
105,99
106,100
107,100
108,101
109,102
110,102
111,102
112,101
113,100
114,101
115,101
116,102
117,103
118,103
119,103
120,102
121,102
122,101
123,100
124,99
125,98
126,97
127,96
128,96
129,97
130,98
131,99
132,99
133,98
134,98
135,98
136,98
137,98
138,99
139,100
140,100
141,99
142,98
143,98
144,98
145,98
146,98
147,99
148,99
149,100
150,101
151,102
152,103
153,103
154,103
155,103
156,102
157,101
158,101
159,100
160,99
161,98
162,98
163,97
164,96
165,97
166,98
167,99
168,98
169,98
170,98
171,98
172,99
173,99
174,99
175,100
176,100
177,99
178,99
179,99
180,100
181,100
182,101
183,102
184,103
185,103
186,103
187,103
188,103
189,103
190,102
191,101
192,101
193,100
194,99
195,98
196,98
197,97
198,97
199,97
200,98
201,99
202,99
203,99
204,100
205,100
206,100
207,100
208,101
209,101
210,102
211,102
212,101
213,100
214,100
215,101
216,102
217,103
218,103
219,103
220,103
221,103
222,103
223,102
224,101
225,100
226,99
227,98
228,97
229,96
230,97
231,98
232,98
233,99
234,99
235,100
236,101
237,100
238,100
239,101
240,102
241,102
242,103
243,103
244,102
245,101
246,101
247,100
248,100
249,101
250,102
251,103
252,103
253,103
254,103
255,102
256,101
257,100
258,99
259,98
260,98
261,97
262,96
263,97
264,98
265,99
266,100
267,100
268,100
269,99
270,98
271,98
272,98
273,98
274,99
275,100
276,100
277,100
278,100
279,100
280,101
281,100
282,100
283,101
284,102
285,102
286,103
287,102
288,103
289,103
290,103
291,103
292,103
293,102
294,101
295,100
296,99
297,98
298,98
299,97
300,97
301,97
302,98
303,99
304,99
305,99
306,98
307,98
308,98
309,98
310,98
311,98
312,99
313,100
314,101
315,101
316,102
317,102
318,101
319,101
320,102
321,102
322,103
323,102
324,101
325,100
326,99
327,99
328,98
329,98
330,98
331,99
332,100
333,101
334,102
335,102
336,103
337,103
338,103
339,102
340,102
341,101
342,100
343,99
344,99
345,99
346,100
347,101
348,102
349,103
350,103
351,103
352,103
353,102
354,101
355,100
356,100
357,99
358,98
359,97
360,96
361,97
362,98
363,98
364,99
365,99
366,99
367,98
368,98
369,99
370,100
371,101
372,102
373,102
374,103
375,102
376,101
377,101
378,101
379,100
380,100
381,100
382,99
383,98
384,98
385,98
386,98
387,99
388,100
389,101
390,102
391,102
392,103
393,103
394,103
395,102
396,102
397,101
398,100
399,99
400,98
401,99
402,100
403,100
404,101
405,102
406,103
407,103
408,103
409,103
410,102
411,101
412,100
413,99
414,98
415,97
416,97
417,96
418,97
419,98
420,99
421,99
422,99
423,99
424,98
425,98
426,99
427,100
428,99
429,100
430,100
431,101
432,100
433,101
434,101
435,100
436,99
437,100
438,100
439,101
440,102
441,103
442,103
443,103
444,103
445,102
446,101
447,100
448,99
449,98
450,97
451,97
452,97
453,97
454,98
455,99
456,100
457,101
458,102
459,103
460,103
461,103
462,103
463,102
464,101
465,101
466,100
467,99
468,99
469,100
470,100
471,101
472,102
473,103
474,103
475,103
476,103
477,102
478,101
479,100
480,99
481,99
482,98
483,97
484,96
485,97
486,98
487,99
488,100
489,101
490,101
491,102
492,103
493,103
494,102
495,101
496,101
497,100
498,99
499,98
